trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-66.91276904907048,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.95}",20,11,-48.552819087517115,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-109.39052956574717,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-139.95550690193767,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-158.7928779861696,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-171.47980925962594,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-228.43813021078162,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-93.26837537862244,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-60.92641285092139,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-113.59543498011855,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-51.456557782364754,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,18,-2.9843438964038755,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-42.28204077529825,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-133.10497790944487,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-39.47879466768217,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-34.252782988522775,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-99.88616830870075,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-38.71845507837146,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,18.6321380968209,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-23.239292648511274,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-56.54986488204016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-78.40222017938726,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,6,-27.62473672110278,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,5,11.596561244658693,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,7,-6.300718766786221,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,13,14.000445003247332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,2.8652981864338,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.3500000000000003}",30,0,16.609824853310453,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,17,13.074101246474653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,12,-11.380087878487233,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
