trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,4,-187.67599377811942,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 4}",1
2,False,"{'a': 0.4, 'e': 0.99}",30,0,-94.29578548544433,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.9801}",25,0,-194.6447703297463,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.970299}",25,0,-160.91874906657944,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.96059601}",20,0,-90.40775825933102,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.9509900498999999}",25,0,-133.12251160282716,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.941480149401}",30,0,-133.13880766411404,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.9320653479069899}",30,0,-126.92803510589609,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9227446944279201}",25,1,-31.036453058552596,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.9135172474836408}",20,0,-26.37443648651474,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.9043820750088044}",30,0,-279.43556894034754,"{0: 15, 1: 6, 2: 1, 3: 3, 4: 5}",0
12,False,"{'a': 0.4, 'e': 0.8953382542587164}",30,0,-177.0075598177066,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.8863848717161292}",25,0,-173.18222217801258,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.4, 'e': 0.8775210229989678}",25,0,-92.91192708784108,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8687458127689782}",25,0,-75.69228365553187,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.8600583546412884}",25,0,-215.80747942039775,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.4, 'e': 0.8514577710948755}",25,0,-58.34757726550355,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.8429431933839268}",25,17,-5.370034578961169,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.8345137614500875}",20,12,-13.364645775272926,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.4, 'e': 0.8261686238355866}",25,0,-111.50967583269664,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.4, 'e': 0.8179069375972308}",30,0,-16.82046441142714,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
22,False,"{'a': 0.4, 'e': 0.8097278682212584}",25,0,-91.26590379097138,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.8016305895390459}",25,0,-117.42448785630545,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.7936142836436554}",20,0,-28.151213442466506,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.7856781408072188}",25,7,-24.928836432096475,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.4, 'e': 0.7778213593991467}",30,0,-137.63344406543442,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.7700431458051551}",30,0,-86.26860268168144,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.7623427143471035}",20,0,-100.97765300485534,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.7547192872036325}",20,0,-99.92506544467152,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.7471720943315961}",25,0,-109.97272253747215,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.7397003733882802}",25,2,-89.8370707169058,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
32,False,"{'a': 0.4, 'e': 0.7323033696543975}",30,0,-118.52014914912019,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.7249803359578535}",20,0,-155.0419722626221,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.4, 'e': 0.7177305325982749}",20,0,-67.15522894169928,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.4, 'e': 0.7105532272722921}",20,0,-76.81742838848893,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.7034476949995692}",20,0,-113.44077208648712,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.6964132180495735}",20,8,-14.472629598803609,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.6894490858690778}",30,0,-167.10780615087987,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
39,False,"{'a': 0.4, 'e': 0.682554595010387}",25,10,-48.32681484891722,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.6757290490602831}",20,2,-138.57699866119273,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 2}",1
41,False,"{'a': 0.4, 'e': 0.6689717585696803}",35,0,-66.04888654815433,"{0: 23, 1: 7, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.4, 'e': 0.6622820409839835}",25,2,-39.05300175639478,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
43,False,"{'a': 0.4, 'e': 0.6556592205741436}",20,0,-104.40176376390876,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.6491026283684022}",25,0,-85.72278037177715,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.6426116020847181}",25,9,-38.47386967659196,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.6361854860638709}",20,0,-14.458740287150647,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.6298236312032323}",30,0,-113.93218863041524,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.6235253948912}",25,4,-61.18575037679491,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.4, 'e': 0.617290140942288}",35,4,-106.15411374889354,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 2}",1
50,False,"{'a': 0.4, 'e': 0.611117239532865}",20,0,-6.271841451862719,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.6050060671375364}",30,22,-15.36897767506583,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.598956006466161}",25,0,-73.24100212223524,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.4, 'e': 0.5929664464014994}",20,13,-10.077757334310435,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.5870367819374844}",20,10,4.602123954765343,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.5811664141181095}",20,0,-114.80920585268889,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.4, 'e': 0.5753547499769285}",20,0,-67.1437888412973,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
57,False,"{'a': 0.4, 'e': 0.5696012024771592}",20,0,-13.745848815027724,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.5639051904523875}",25,15,6.797369431539765,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.5582661385478637}",30,0,-122.25015577511702,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.4, 'e': 0.5526834771623851}",20,8,-41.498946486975534,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.4, 'e': 0.5471566423907612}",20,0,-114.9981399093611,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
62,False,"{'a': 0.4, 'e': 0.5416850759668536}",25,7,-36.98844949909292,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.4, 'e': 0.536268225207185}",30,0,-120.3053482578634,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",1
64,False,"{'a': 0.4, 'e': 0.5309055429551132}",30,13,-9.448629890188428,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.525596487525562}",30,8,-67.26195978079171,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
66,False,"{'a': 0.4, 'e': 0.5203405226503064}",35,0,-124.71325062310464,"{0: 27, 1: 0, 2: 4, 3: 2, 4: 2}",1
67,False,"{'a': 0.4, 'e': 0.5151371174238033}",20,0,-46.17076261902366,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.4, 'e': 0.5099857462495653}",25,0,8.491019265663194,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.5048858887870696}",20,11,8.1652600523873,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.4998370298991989}",30,0,-42.4804801164572,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.4, 'e': 0.49483865960020695}",25,0,-43.0154645288031,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.4, 'e': 0.4898902730042049}",25,15,4.042879814674367,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.48499137027416284}",20,0,-75.90831458581985,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.4, 'e': 0.4801414565714212}",20,0,-23.39551331204525,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.4, 'e': 0.47534004200570695}",25,14,-2.018902440898305,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.4705866415856499}",20,0,-113.98361920865688,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.4, 'e': 0.46588077516979337}",35,16,-49.921286736291556,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
78,False,"{'a': 0.4, 'e': 0.46122196741809546}",30,4,-101.35859238508743,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 2}",1
79,False,"{'a': 0.4, 'e': 0.4566097477439145}",20,6,-35.918929875836355,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.45204365026647536}",20,0,-79.65610453538577,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.4, 'e': 0.4475232137638106}",25,12,-72.5060091459228,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
82,False,"{'a': 0.4, 'e': 0.4430479816261725}",30,18,-20.851579664845914,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.43861750180991077}",20,0,-78.97693743018849,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
84,False,"{'a': 0.4, 'e': 0.43423132679181164}",20,0,-81.28496861126457,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.4, 'e': 0.4298890135238935}",25,7,-7.142431713050482,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.4255901233886546}",20,0,-82.68509364058501,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
87,False,"{'a': 0.4, 'e': 0.421334222154768}",25,0,-142.06185724623015,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
88,False,"{'a': 0.4, 'e': 0.41712087993322033}",25,10,0.10308577811905084,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.41294967113388814}",20,9,-26.682021436495276,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.4, 'e': 0.40882017442254925}",20,14,10.617422925067272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.4047319726783238}",35,3,-157.43122570631178,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 4}",1
92,False,"{'a': 0.4, 'e': 0.40068465295154054}",25,0,-55.34186842282712,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.4, 'e': 0.3966778064220251}",20,6,20.394767833704933,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.39271102835780486}",30,13,-6.026348613381976,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.3887839180742268}",20,0,-54.65185815922257,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.4, 'e': 0.38489607889348454}",20,11,3.91818828042262,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.38104711810454966}",25,1,-82.77869719734754,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 2}",1
98,False,"{'a': 0.4, 'e': 0.37723664692350417}",20,9,-53.99853334422849,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
99,False,"{'a': 0.4, 'e': 0.37346428045426916}",20,10,18.14459125159959,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.36972963764972644}",20,12,15.039190195366816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
