trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.4259528639824,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.87471242375211,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.9984748584652,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.66090449908859,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.69379654823817,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.1233768520149,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.85264784582125,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.3095119398975,"{0: 16, 1: 0, 2: 4, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.61222520923478,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.6733648990796,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.69304411796969,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.11927545110143,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.6118273690055,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.45416515229834,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.87353227494268,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-276.47392640710063,"{0: 15, 1: 9, 2: 5, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.19511634187592,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.21588844959183,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.4544426754056,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.88796052209204,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.47849621322045,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,6,-141.64850154175537,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 3}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.12512449786391,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-282.30938228205576,"{0: 11, 1: 7, 2: 6, 3: 2, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.111404733931884,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-181.54564189677953,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.609735740119184,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.11882087359288,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.53120358235643,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.28910519805245,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
